,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30
User_26,4.0,4.0,1.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,5.0,5.0,1.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0
User_27,2.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,1.0,5.0
User_28,4.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,4.0,1.0,4.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0
User_29,5.0,5.0,1.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,4.0
User_30,3.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,5.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,3.0
User_31,3.0,1.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,1.0,5.0
User_32,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,1.0,4.0,3.0,4.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0
User_33,4.0,2.0,2.0,5.0,3.0,2.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0
User_34,2.0,3.0,4.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,2.0,4.0
User_35,1.0,1.0,3.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0
User_36,4.0,5.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,2.0
User_37,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0
User_38,1.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0
User_39,5.0,5.0,1.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0
User_40,3.0,,5.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,4.0,5.0,2.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,1.0,5.0,2.0,5.0,1.0,2.0,5.0,4.0,2.0
User_41,2.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,5.0
User_42,3.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,1.0
User_43,5.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,3.0,2.0,3.0,5.0
User_44,2.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,2.0,4.0,1.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0
User_45,2.0,3.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,2.0,4.0,2.0,5.0,1.0,1.0
User_46,5.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0
User_47,1.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0
User_48,3.0,3.0,4.0,5.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,2.0,5.0
User_49,,3.0,2.0,3.0,2.0,3.0,5.0,5.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,2.0,1.0,3.0
User_50,2.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0
